ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,semestre,rango_horario
2020-0073,1,2020-12-20,2020,12,20,07:40:00,7,27 DE FEBRERO AV. Y ESCALADA AV.,AVENIDA,27 DE FEBRERO AV.,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2020_S2,DIURNO
2020-0074,1,2020-12-20,2020,12,20,21:00:00,21,BOGOTA Y NAZCA AV.,AVENIDA,BOGOTA,7,AUTO-AUTO,AUTO,AUTO,2020_S2,NOCTURNO
2020-0075,1,2020-12-23,2020,12,23,14:00:00,14,CORRIENTES AV. Y 9 DE JULIO AV.,AVENIDA,CORRIENTES AV.,1,PEATON-PASAJEROS,PEATON,PASAJEROS,2020_S2,DIURNO
2020-0076,1,2020-12-24,2020,12,24,12:30:00,12,ALVAREZ JONTE AV. Y CHIVILCOY,AVENIDA,ALVAREZ JONTE AV.,10,AUTO-PASAJEROS,AUTO,PASAJEROS,2020_S2,DIURNO
2020-0077,2,2020-12-25,2020,12,25,06:40:00,6,SAN MARTIN AV. Y PUNTA ARENAS,AVENIDA,SAN MARTIN AV.,15,MOTO-AUTO,MOTO,AUTO,2020_S2,DIURNO
2020-0078,1,2020-12-25,2020,12,25,05:50:00,5,BARCO CENTENERA DEL 1118,CALLE,BARCO CENTENERA DEL,7,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,2020_S2,NOCTURNO
2020-0079,1,2020-12-27,2020,12,27,04:15:00,4,"PAZ, GRAL. AV. Y ACCESO NORTE - PANAMERICANA",GRAL PAZ,"PAZ, GRAL. AV.",12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2020_S2,NOCTURNO
2021-0001,1,2021-01-06,2021,1,6,18:00:00,18,AU FRONDIZI KM. 3,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,MOTO-AUTO,MOTO,AUTO,2021_S1,DIURNO
2021-0002,1,2021-01-07,2021,1,7,10:20:00,10,"CASTRO, EMILIO AV. Y MURGUIONDO",AVENIDA,"CASTRO, EMILIO AV.",9,MOTO-CARGAS,MOTO,CARGAS,2021_S1,DIURNO
2021-0003,1,2021-01-10,2021,1,10,07:40:00,7,"AU 25 DE MAYO KM. 3,7",AUTOPISTA,AUTOPISTA 25 DE MAYO,7,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021_S1,DIURNO
2021-0004,1,2021-01-11,2021,1,11,09:12:18,9,CASEROS AV. Y GUARANI,AVENIDA,CASEROS AV.,5,PEATON-CARGAS,PEATON,CARGAS,2021_S1,DIURNO
2021-0005,1,2021-01-11,2021,1,11,21:30:00,21,"PERON, EVA AV. 3800",AVENIDA,"PERON, EVA AV.",9,PEATON-AUTO,PEATON,AUTO,2021_S1,NOCTURNO
2021-0006,1,2021-01-12,2021,1,12,21:00:00,21,AU ILLIA y SARMIENTO AV.,AUTOPISTA,AUTOPISTA ARTURO ILLIA,14,MOTO-CARGAS,MOTO,CARGAS,2021_S1,NOCTURNO
