ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,semestre,rango_horario
2021-0082,1,2021-11-06,2021,11,6,04:39:00,4,AU 25 DE MAYO KM7 (ALTURA PASCO),AUTOPISTA,AUTOPISTA 25 DE MAYO,3,MOTO-AUTO,MOTO,AUTO,2021_S2,NOCTURNO
2021-0083,1,2021-11-09,2021,11,9,00:35:00,0,CABILDO AV. Y OLAZABAL,AVENIDA,CABILDO AV.,13,MOTO-AUTO,MOTO,AUTO,2021_S2,NOCTURNO
2021-0084,1,2021-11-11,2021,11,11,03:00:00,3,TAPALQUE Y BRUIX AV.,AVENIDA,TAPALQUE,9,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2021_S2,NOCTURNO
2021-0085,1,2021-11-20,2021,11,20,18:30:00,18,"PAZ, GRAL. AV. Y EZEIZA",GRAL PAZ,"PAZ, GRAL. AV.",12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021_S2,DIURNO
2021-0086,1,2021-11-25,2021,11,25,10:10:00,10,RIVADAVIA AV. Y PUAN,AVENIDA,RIVADAVIA AV.,6,PEATON-PASAJEROS,PEATON,PASAJEROS,2021_S2,DIURNO
2021-0087,1,2021-11-27,2021,11,27,11:22:00,11,ESMERALDA 1359,CALLE,ESMERALDA,1,PEATON-BICICLETA,PEATON,BICICLETA,2021_S2,DIURNO
2021-0088,1,2021-12-01,2021,12,1,15:40:00,15,AV. MOROE Y 3 DE FEBRERO,CALLE,MONROE,13,MOTO-AUTO,MOTO,AUTO,2021_S2,DIURNO
2021-0089,1,2021-12-02,2021,12,2,01:10:00,1,AV. GAONA 3655,AVENIDA,GAONA AV.,11,MOTO-AUTO,MOTO,AUTO,2021_S2,NOCTURNO
2021-0090,1,2021-12-10,2021,12,10,11:45:00,11,AV. 9 DE JULIO Y LAVALLE,AVENIDA,9 DE JULIO AV.,1,PEATON-PASAJEROS,PEATON,PASAJEROS,2021_S2,DIURNO
2021-0091,1,2021-12-11,2021,12,11,23:00:00,23,BAIGORRIA Y VICTOR HUGO,CALLE,BAIGORRIA,10,MOTO-AUTO,MOTO,AUTO,2021_S2,NOCTURNO
2021-0092,1,2021-12-12,2021,12,12,06:20:00,6,AV. RIVADAVIA Y AV. PUEYRREDON,AVENIDA,RIVADAVIA AV.,3,PEATON-AUTO,PEATON,AUTO,2021_S2,DIURNO
2021-0093,1,2021-12-13,2021,12,13,17:10:00,17,AV. RIESTRA Y MOM,AVENIDA,RIESTRA AV.,7,MOTO-AUTO,MOTO,AUTO,2021_S2,DIURNO
2021-0094,1,2021-12-20,2021,12,20,01:10:00,1,AU DELLEPIANE Y LACARRA,AUTOPISTA,"DELLEPIANE, LUIS, TTE. GRAL.",9,MOTO-AUTO,MOTO,AUTO,2021_S2,NOCTURNO
2021-0095,1,2021-12-30,2021,12,30,00:43:00,0,AV. GAONA Y TERRADA,AVENIDA,GAONA AV.,11,MOTO-CARGAS,MOTO,CARGAS,2021_S2,NOCTURNO
2021-0096,1,2021-12-15,2021,12,15,10:30:00,10,AV. EVA PERON 4071,AVENIDA,"PERON, EVA AV.",9,AUTO-CARGAS,AUTO,CARGAS,2021_S2,DIURNO
2021-0097,1,2021-11-18,2021,11,18,06:10:00,6,PADRE CARLOS MUJICA 709,CALLE,PADRE CARLOS MUJICA,1,BICICLETA-AUTO,BICICLETA,AUTO,2021_S2,DIURNO
